IATA_code,name,city_name,country_code
PKJ,Playa Grande,Playa Grande,GT
TKM,TKM,,GT
HUG,HUG,,GT
LOX,Los Tablones,Los Tablones,GT
LCF,Las Vegas Airport,Rio Dulce,GT
PBR,PBR,,GT
PON,PON,,GT
RER,RER,,GT
RUV,Rubelsanto,Rubelsanto,GT
GUM,A.B. Won Pat Intl,Guam,GU
UAM,Andersen Afb,Guam,GU
BQE,BQE,,GW
OXB,Osvaldo Vieira Intl ,Bissau,GW
PMT,PMT,,GY
PKM,Port Kaituma,Port Kaituma,GY
PIQ,Pipillipai,Pipillipai,GY
PRR,Paruima,Paruima,GY
MWJ,Matthews Ridge,Matthews Ridge,GY
MYM,Monkey Mountain,Monkey Mountain,GY
ORJ,Orinduik,Orinduik,GY
LTM,LTM,,GY
MHA,Mahdia,Mahdia,GY
KAR,KAR,,GY
KRG,Karasabai,Karasabai,GY
SKM,Skeldon,Skeldon,GY
USI,Mabaruma,Mabaruma,GY
BMJ,Baramita,Baramita,GY
AHL,Aishalton,Aishalton,GY
GFO,Bartica,Bartica,GY
BCG,Bemichi,Bemichi,GY
GEO,Cheddi Jagan Intl,Georgetown,GY
KKG,Konawaruk,Konawaruk,GY
KPG,Kurupung,Kurupung,GY
KRM,Karanambo,Karanambo,GY
KTO,Kato,Kato,GY
NAI,NAI,,GY
OGL,Ogle,Georgetown,GY
SDC,Sandcreek,Sandcreek,GY
VEG,Maikwak,Maikwak,GY
HKG,Hong Kong Intl,Hong Kong,HK
QDM,Shek Mun,Shek Mun,HK
ZTW,Tsuen Wan,Tsuen Wan,HK
CDD,Cauquira,Cauquira,HN
ENQ,Coronel E Soto A,Coronel E Soto A,HN
GUO,Gualaco,Gualaco,HN
LEZ,LEZ,,HN
LMH,Limon,Limon,HN
RUY,RUY,,HN
SCD,Sulaco,Sulaco,HN
TEA,TEA,,HN
TGU,Tegucigalpa,Tegucigalpa,HN
VTA,VTA,,HN
GAC,Gracias,Gracias,HN
GJA,Guanaja,Guanaja,HN
CYL,Coyoles,Coyoles,HN
EDQ,Erandique,Erandique,HN
AHS,Ahuas,Ahuas,HN
BHG,Brus Laguna,Brus Laguna,HN
CAA,CAA,,HN
UII,Utila Island,Utila,HN
SAP,Ramon Villeda Morales Intl,San Pedro Sula,HN
SET,SET,,HN
SDH,Santa Rosa Copan,Santa Rosa Copan,HN
TJI,Trujillo,Trujillo,HN
TCF,Tocoa,Tocoa,HN
XPL,Comayagua,Comayagua,HN
IRN,Iriona,Iriona,HN
LUI,La Union,La Union,HN
LCE,Goloson Intl,La Ceiba,HN
LLH,Las Limas,Las Limas,HN
ORO,Yoro,Yoro,HN
OAN,Olanchito,Olanchito,HN
MRJ,Marcala,Marcala,HN
RTB,Juan Manuel Gálvez Intl,Roatan,HN
PCH,Palacios Municipal,Palacios,HN
PEU,Puerto Lempira,Puerto Lempira,HN
OSI,Osijek,Osijek,HR
RJK,Rijeka,Rijeka,HR
PUY,Pula,Pula,HR
LSZ,LSZ,,HR
ZAD,Zadar,Zadar,HR
ZAG,Zagreb Intl,Zagreb,HR
SPU,Split,Split,HR
DBV,Dubrovnik,Dubrovnik,HR
BWK,Bol,Brac,HR
PAP,Toussaint Louverture Intl,Port Au Prince,HT
CYA,CYA,,HT
CAP,Cap Haitien,Cap Haitien,HT
JAK,Jacmel,Jacmel,HT
JEE,Jeremie,Jeremie,HT
PAX,Port De Paix,Port De Paix,HT
PEV,Pevek,Pecs,HU
MCQ,Miskolc,Miskolc,HU
SOB,SOB,,HU
BUD,Budapest Ferenc Liszt Intl,Budapest,HU
DEB,Debrecen Intl,Debrecen,HU
HVZ,Heviz,Heviz,HU
QGY,Gyor,Gyor,HU
QPJ,QPJ,,HU
QZD,QZD,,HU
ZBX,Szombathely,Szombathely,HU
ZFP,Veszprem,Veszprem,HU
ZLG,Zalaegerszeg,Zalaegerszeg,HU
ABU,Haliwen,Atambua,ID
AEG,AEG,,ID
AMI,Selaparang,Mataram,ID
AMQ,Pattimura,Ambon,ID
ARD,ARD,,ID
ARJ,ARJ,,ID
BJK,Nangasuri Aru Island,Nangasuri Aru Island,ID
BMU,Sultan Muhammad Salahuddin,Bima,ID
BXB,BXB,,ID
BXD,BXD,,ID
BXM,BXM,,ID
BYQ,Bunyu,Bunyu,ID
CPF,Nglonram,Cepu,ID
CXP,Tunggul Wulung,Cilacap,ID
DPS,Ngurah Rai Intl,Denpasar,ID
DRH,Dabra,Dabra,ID
DTD,Datadawai,Datadawai,ID
FKQ,FKQ,,ID
FOO,Numfoor,Numfoor,ID
ILA,ILA,,ID
IUL,Ilu,Ilu,ID
KAZ,KAZ,,ID
KBU,KBU,,ID
KBX,KBX,,ID
KEI,Kepi,Kepi,ID
KEQ,KEQ,,ID
KMM,KMM,,ID
KRC,Depati Parbo,Kerinci,ID
KTG,Ketapang,Ketapang,ID
KWB,Karimunjawa,Karimunjawa,ID
LII,Mulia,Mulia,ID
LPU,Long Apung,Long Apung,ID
LSW,Malikussaleh,Lhok Seumawe,ID
LSX,Lhok Sukon,Lhok Sukon,ID
LYK,Lunyuk,Sumbawa Island,ID
MAL,MAL,,ID
MEQ,Nagan Raya,Cut Nyak Dien,ID
MJU,Tampa Padang,Mamuju,ID
MNA,MNA,,ID
MPC,Muko Muko,Muko Muko,ID
MSI,Masalembo,Masalembo,ID
MUF,Muting,Muting,ID
MWK,Tarempa,Matak,ID
NAF,Banaina,Banaina,ID
NBX,Nabire,Nabire,ID
NDA,Banda Island,Banda Island,ID
NKD,Sinak,Sinak,ID
NNX,Nunukan,Nunukan,ID
NPO,NPO,,ID
NTI,Stenkol,Bintuni,ID
NTX,Ranai,Natuna,ID
OBD,Obano,Obano,ID
ONI,Moanamani,Moanamani,ID
PCB,Pondok Cabe,Pondok Cabe,ID
PDO,Pendopo,Pendopo,ID
PGK,Depati Amir,Pangkalpinang,ID
PLW,Mutiara,Palu,ID
PPJ,Panjang Island,Panjang Island,ID
PPR,Pasir Pangarayan,Pasir Pangarayan,ID
PSU,Putussibau,Putussibau,ID
PUM,Kolaka,Kolaka,ID
RAQ,Sugimanuru,Muna,ID
RKI,Sipora,Rokot,ID
RTI,David C. Saudale,Roti,ID
SAU,Tardamu,Sawu,ID
SEH,SEH,,ID
SEQ,Bengkalis,Bengkalis,ID
SGQ,SGQ,,ID
SIQ,Singkep,Singkep,ID
SOC,Adi Sumarmo Intl,Surakarta (Solo),ID
SQG,Sanggata,Sanggata,ID
SQR,Soroako,Soroako,ID
SRI,Samarinda,Samarinda,ID
SUP,Trunojoyo,Sumenep,ID
TBM,Tumbang Samba,Tumbang Samba,ID
TIM,Tembagapura,Tembagapura/Timika,ID
TJG,Tanjung Warukin,Tanjung Warukin,ID
TLI,Tolitoli,Tolitoli,ID
TMC,"Tambolaka, Sumba",Tambolaka,ID
TPK,Tapaktuan,Tapaktuan,ID
TTR,Tana Toraja,Tana Toraja,ID
UOL,Buol,Buol,ID
WGP,Waingapu,Waingapu,ID
ZQX,Nias Island,Nias Island,ID
ZRM,Sarmi,Sarmi,ID
DOB,DOB,,ID
DJJ,Sentani,Jayapura,ID
DJB,Sultan Thaha,Jambi,ID
ELR,Elelim,Elelim,ID
ENE,ENE,,ID
DUM,Pinang Kampai,Dumai,ID
GLX,GLX,,ID
GNS,GNS,,ID
GTO,Jalaluddin,Gorontalo,ID
GAV,Gag Island,Gag Island,ID
FLZ,Ferdinand Lumban Tobing,Sibolga,ID
EWI,Enarotali,Enarotali,ID
BTW,BTW,,ID
BUI,Bokondini,Bokondini,ID
BUW,Baubau,Baubau,ID
BTH,Hang Nadim Intl,Batam,ID
BTJ,Sultan Iskandar Muda Intl,Banda Aceh,ID
BPN,Sepingan Intl,Balikpapan,ID
BXT,BXT,,ID
CBN,CBN,,ID
BIK,Frans Kaisiepo,Biak,ID
BKS,Fatmawati Soekarno,Bengkulu,ID
BJW,BJW,,ID
BEJ,Kalimarau,Tanjung Redep,ID
BDO,Husein Sastranegara,Bandung,ID
BDJ,Syamsudin Noor Intl,Banjarmasin,ID
AYW,Ayawasi,Ayawasi,ID
AHI,Amahai,Amahai,ID
AGD,Anggi,Anggi,ID
AAS,Apalapsili,Apalapsili,ID
AKQ,AKQ,,ID
SOQ,Sorong,Sorong,ID
SMQ,Sampit,Sampit,ID
SIW,SIW,,ID
SBG,Maimun Saleh,Sabang,ID
RUF,Yuruf,Yuruf,ID
SQN,Sanana,Sanana,ID
SRG,Achmad Yani Intl,Semarang,ID
SUB,Juanda Intl,Surabaya,ID
SWQ,Sumbawa,Sumbawa Besar,ID
SXK,Saumlaki,Saumlaki,ID
TAX,Taliabu,Taliabu,ID
TJB,Tanjung Balai,Tanjung Balai,ID
UGU,UGU,,ID
TXM,Teminabuan,Teminabuan,ID
TJQ,H.A.S. Hanandjoeddin,Tanjung Pandan,ID
TJS,Tanjungselor,Tanjung Selor,ID
TKG,Bandar Lampung,Bandar Lampung,ID
TMH,TMH,,ID
TMY,Tiom,Tiom,ID
TNJ,TNJ,,ID
TNB,Tanah Grogot,Tanah Grogot,ID
TRK,Tarakan,Tarakan,ID
TTE,Ternate,Ternate,ID
TSX,Tanjung Santan,Tanjung Santan,ID
TSY,TSY,,ID
UPG,Ujung Pandang,Makassar,ID
WBA,Seram Island,Seram Island,ID
WET,Waghete,Waghete,ID
WMX,Wamena,Wamena,ID
ZRI,ZRI,,ID
ZEG,Senggo,Senggo,ID
WSR,Wasior,Wasior,ID
LWE,Wunopito,Lewoleba,ID
LUV,Langgur,Langgur,ID
LUW,LUW,,ID
MDC,Sam Ratulangi Intl,Manado,ID
MDP,Mindiptana,Mindiptana,ID
KNO,Kuala Namu Intl,Medan,ID
MES,Polonia,Medan,ID
MKW,Rendani,Manokwari,ID
MLG,MLG,,ID
MKQ,Mopah,Merauke,ID
LKA,LKA,,ID
LHI,LHI,,ID
LOP,Lombok Intl,Lombok,ID
LLN,Kelila,Kelila,ID
LBW,Juvai Semaring,Long Bawan,ID
LBJ,Komodo,Labuan Bajo,ID
LAH,LAH,,ID
CGK,Soekarno-Hatta Intl,Jakarta,ID
HLP,Halim Perdanakusuma,Jakarta,ID
JKT,"Jakarta, All",Jakarta,ID
INX,Inanwatan,Inanwatan,ID
KOD,KOD,,ID
KOE,El Tari,Kupang,ID
KOX,Kokonao,Kokonao,ID
KLQ,Keluang,Keluang,ID
KNG,Utarom,Utarom,ID
KBF,Karubaga,Karubaga,ID
KCD,Kamur,Kamur,ID
JOG,Adisutjipto Intl,Yogyakarta,ID
KDI,Haluoleo,Kendari,ID
PDG,Minangkabau Intl,Padang,ID
OTI,Pitu,Morotai Island,ID
PKN,Iskandar,Pangkalanbuun,ID
PKU,Sultan Syarif Kasim II Intl,Pekanbaru,ID
PLM,Sultan Mahmud Badaruddin II Intl,Palembang,ID
PKY,Tjilik Riwut,Palangkaraya,ID
PNK,Supadio Intl,Pontianak,ID
PSJ,Poso,Poso,ID
PWL,Wirasaba,Purwokerto,ID
RSK,Ransiki,Ransiki,ID
RTG,Frans Sales Lega,Ruteng,ID
RGT,Rengat,Rengat,ID
RDE,Merdey,Merdey,ID
MOF,Wai Oti,Maumere,ID
MXB,MXB,,ID
OKL,OKL,,ID
OKQ,Okaba,Okaba,ID
NRE,Namrole,Namrole,ID
NNR,Connemara,Spiddal,IE
ORK,Cork Intl,Cork,IE
KKY,Kilkenny,Kilkenny,IE
IOR,Kilronan,Inishmore,IE
IIA,Inishmaan,Inishmaan,IE
WAT,Waterford,Waterford,IE
SXL,Sligo,Sligo,IE
BLY,BLY,,IE
CFN,Donegal,Donegal,IE
BYT,BYT,,IE
GWY,Galway,Galway,IE
DUB,Dublin,Dublin,IE
KIR,Kerry County,Kerry,IE
LMK,Limerick,Limerick,IE
LTR,Letterkenny,Letterkenny,IE
NOC,Ireland West,Knock,IE
SNN,Shannon,Shannon,IE
BBI,Biju Patnaik Intl,Bhubaneshwar,IN
BPM,BPM,,IN
CBD,CBD,,IN
CDP,CDP,,IN
CNN,Kannur,Kannur,IN
DAI,DAI,,IN
DED,Jolly Grant,Dehradun,IN
DEL,Indira Gandhi Intl,Delhi,IN
DHM,Gaggal,Dharamsala,IN
GOI,Dabolim,Goa,IN
GUX,GUX,,IN
HBX,HBX,,IN
ISK,ISK,,IN
IXD,Allahabad,Allahabad,IN
IXE,Mangalore,Mangalore,IN
IXI,Lilabari,Lilabari,IN
IXJ,Satwari,Jammu,IN
IXL,Kushok Bakula Rimpochee,Leh,IN
IXT,Pasighat,Pasighat,IN
IXV,IXV,,IN
KTU,KTU,,IN
MYQ,MYQ,,IN
PUT,Sri Sathya Sai,Puttaparthi,IN
QJU,Jalandhar,Jalandhar,IN
QNF,Faridabad,Faridabad,IN
REW,REW,,IN
RJI,Rajauri,Rajauri,IN
SXR,Srinagar,Srinagar,IN
TCR,TCR,,IN
TRV,Thiruvananthapuram,Thiruvananthapuram,IN
TRZ,Trichinopoly,Tiruchchirappalli,IN
VDY,Vidyanagar,Vidyanagar,IN
ZER,ZER,,IN
DIU,Diu,Diu,IN
DMU,Dimapur,Dimapur,IN
DIB,Dibrugarh,Dibrugarh,IN
DBD,DBD,,IN
CJB,Coimbatore Intl,Coimbatore,IN
COK,Cochin Intl,Kochi,IN
GWL,Gwalior,Gwalior,IN
GOP,Gorakhpur,Gorakhpur,IN
HSS,Hisar,Hisar,IN
HJR,Khajuraho,Khajuraho,IN
GAY,Gaya,Gaya,IN
GAU,Lokpriya Gopinath Bordoloi Intl,Guwahati,IN
CCJ,Calicut Intl,Kozhikode,IN
CCU,Netaji Subhas Chandra Bose,Kolkata,IN
BOM,Chhatrapati Shivaji Intl,Mumbai,IN
BUP,BUP,,IN
BLR,Kempegowda Intl,Bengaluru,IN
BKB,Nal,Bikaner,IN
BHJ,Rudra Mata Bhuj,Bhuj,IN
BHU,Bhavnagar,Bhavnagar,IN
BHO,Raja Bhoj,Bhopal,IN
ATQ,Sri Guru Ram Dass Jee Intl,Amritsar,IN
BDQ,Vadodara,Vadodara,IN
BEK,BEK,,IN
BEP,BEP,,IN
AMD, Ahmedabad,Ahmedabad,IN
AGX,AGX,,IN
AGR,Kheria Agra,Agra,IN
AJL,Aizawl,Aizawl,IN
AKD,AKD,,IN
SXV,SXV,,IN
STV,Surat Gujarat,Surat Gujarat,IN
SSE,Solapur,Solapur,IN
TIR,Tirupati,Tirupati,IN
TEZ,Tezpur,Tezpur,IN
TEI,TEI,,IN
SHL,Shillong,Shillong,IN
SLV,SLV,,IN
VTZ,Visakhapatnam,Vishakhapatnam,IN
WGC,Warangal,Warangal,IN
VNS,Varanasi,Varanasi,IN
VGA,Vijayawada,Vijayawada,IN
TNI,Satna,Satna,IN
TJV,Thanjavur,Thanjavur,IN
UDR,Udaipur,Udaipur,IN
IMF,Imphal Municipal,Imphal,IN
HYD,Rajiv Gandhi Intl,Hyderabad,IN
IDR,Devi Ahilya Bai Holkar,Indore,IN
JLR,Jabalpur,Jabalpur,IN
JGA,Jamnagar,Jamnagar,IN
JGB,Jagdalpur,Jagdalpur,IN
JAI,Jaipur,Jaipur,IN
JDH,Jodhpur,Jodhpur,IN
IXA,Agartala,Agartala,IN
IXB,Bagdogra,Bagdogra,IN
IXC,Chandigarh Intl ,Chandigarh,IN
IXG,Belgaum,Belgaum,IN
IXH,Kailashahar,Kailashahar,IN
IXK,Keshod,Keshod,IN
IXM,Madurai,Madurai,IN
IXN,Khowai,Khowai,IN
IXP,IXP,,IN
IXQ,Kamalpur,Kamalpur,IN
IXR,Birsa Munda,Ranchi,IN
IXS,Silchar,Silchar,IN
IXU,Aurangabad,Aurangabad,IN
IXW,IXW,,IN
IXY,Kandla,Kandla,IN
IXZ,Veer Savarkar Intl,Port Blair,IN
KLH,KLH,,IN
KNU,KNU,,IN
JSA,Jaisalmer,Jaisalmer,IN
JRH,Jorhat,Jorhat,IN
KUU,KUU,,IN
LDA,LDA,,IN
LKO,Chaudhary Charan Singh Intl,Lucknow,IN
LUH,Ludhiana,Ludhiana,IN
LTU,LTU,,IN
MAA,Chennai Intl,Chennai,IN
NMB,Daman,Daman,IN
NVY,Neyveli,Neyveli,IN
NDC,NDC,,IN
MZU,Muzaffarpur,Muzaffarpur,IN
NAG,Nagpur,Nagpur,IN
RGH,RGH,,IN
RJA,Rajahmundry,Rajahmundry,IN
RTC,RTC,,IN
RRK,Rourkela,Rourkela,IN
RPR,Swami Vivekananda,Raipur,IN
RMD,Ramagundam,Ramagundam,IN
PYB,Jeypore,Jeypore,IN
RAJ,Rajkot,Rajkot,IN
PNY,Pondicherry,Pondicherry,IN
PNQ,Pune,Pune,IN
PAT, Jay Prakash Narayan Intl,Patna,IN
PAB,Bilaspur,Bilaspur,IN
PBD,Porbandar,Porbandar,IN
PGH,PGH,,IN
OSM,OSM,,IQ
KIK,KIK,,IQ
ISU,Sulaimaniyah Intl,Sulaymaniyah,IQ
BGW,Baghdad Intl,Baghdad,IQ
BSR,Basra Intl,Basrah,IQ
EBL,Erbil Intl,Erbil,IQ
BMN,Bamarni,Bamarni,IQ
IQA,Al Asad,Al Asad,IQ
NJF, Al-Najaf Intl,Al Najaf,IQ
RQW,West,Qayyarah,IQ
SDA,Dudweilerstr Bus Station,Saarbruecken,IQ
TQD,Al Fallujah,Al Fallujah,IQ
AEU,Abu Musa,Abu Musa,IR
AJK,Araak,Araak,IR
BBL,Babolsar,Babolsar,IR
BUZ,Bushehr,Bushehr,IR
BXR,Bam,Bam,IR
CQD,Shahre-Kord,Shahre-Kord,IR
FAZ,FAZ,Fasa,IR
GSM,Qeshm International Airport,Qeshm Island,IR
GZW,Ghazvin,Ghazvin,IR
HDM,Hamadan,Hamadan,IR
IAQ,IAQ,Bahregan,IR
IFN,Isfahan,Isfahan,IR
IMQ,Maku,Maku,IR
KHK,Khark,Khark,IR
KHY,Khoy,Khoy,IR
KNR,Jam,Kangan,IR
LRR,Lar,Lar,IR
LVP,Lavan Island,Lavan,IR
NSH,Now Shahr,Now Shahr,IR
NUJ,Nogeh,Nogeh,IR
OMH,Urmia,Urumiyeh,IR
PGU,Persian Gulf Intl,Asaluyeh,IR
QMJ,Masjed Soleiman Off-Line Point,Masjed Soleiman,IR
RZR,Ramsar,Ramsar,IR
SNX,Semnan,Semnan,IR
SRY,Dashte-NAZ,Sari,IR
SXI,Sirri Island,Sirri Island,IR
YES,Yasuj,Yasuj,IR
ZBR,Konarak,Chah Bahar,IR
DEF,Dezful,Dezful,IR
CKT,Sarakhs,Sarakhs,IR
GBT,Gorgan,Gorgon,IR
GCH,Gachsaran,Gachsaran,IR
BND,Bandar Abbas,Bandar Abbas,IR
BJB,Bojnord,Bojnurd,IR
BDH,Bandar Lengeh,Bandar Lengeh,IR
AWZ,Ahwaz,Ahwaz,IR
AZD,Yazd,Yazd,IR
AKW,Aghajari,Aghajari,IR
AFZ,Sabzevar,Sabzevar,IR
ABD,Abadan,Abadan,IR
ACP,Sahand,Maragheh,IR
ADU,Ardabil,Ardabil,IR
ACZ,Zabol,Zabol,IR
